"","City","x","y"
"0","Aalborg",9.93341097,57.03615424
"1","Aarhus",10.18026557,56.16552198
"2","Aba",7.33877421,5.08421254
"3","Abadan",48.27875,30.34152778
"4","Abaetetuba",-48.87708334,-1.72291667
"5","Abai",-55.94166666,-26.04166666
"6","Abakan",91.43812724,53.71796595
"7","Abancay",-72.88511905,-13.63452381
"8","Abau",148.5625,-10.04583333
"9","Abaza",90.09451754,52.64846491
"10","Abbottabad",73.08742225,34.06770867
"11","Abeche",20.83333333,13.83452381
"12","Abengourou",-3.49027778,6.73333333
"13","Abeokuta",3.33347801,7.12086227
"14","Aberdeen1",-98.47681624,45.4642094
"15","Aberdeen2",-123.83733974,46.97419872
"16","Aberdeen3",-2.13519939,57.15467792
"17","Abha",42.50852273,18.21723485
"18","Abidjan",-4.0198459,5.37390036
"19","Abilene",-99.76105073,32.43550725
"20","Abohar",74.33607194,30.32743489
"21","Abomey",1.89541137,6.86759492
"22","Abong Mbang",13.175,3.9875
"23","Abra Pampa",-65.69722222,-22.72222222
"24","Abu Dhabi",54.41067073,24.44434282
"25","Abu Kamal",40.91966846,34.49717742
"26","Abuja",7.48438511,9.0631877
"27","Acapulco",-99.83901042,16.88276041
"28","Acarau",-40.11875,-2.88125001
"29","Acarigua",-69.2078252,9.56514228
"30","Acatlan",-98.05059524,18.20178572
"31","Accra",-0.17560799,5.64089134
"32","Achinsk",90.47843137,56.25988562
"33","Acu",-36.91011905,-5.57916667
"34","Ad Dakhla",-15.93897059,23.69828431
"35","Ad Damman",50.11212871,26.38950082
"36","Ad Diwaniyah",44.92624269,31.98910819
"37","Ad Nabk",36.73194444,34.02837301
"38","Adana",35.32586735,37.00232993
"39","Adapazari",30.39293912,40.74588324
"40","Addis Ababa",39.03125744,8.70974208
"41","Adelaide",138.59505814,-34.91131959
"42","Aden",45.02003968,12.79702381
"43","Adi Ugri",38.81905714,14.86999273
"44","Adigrat",39.48270833,14.2575
"45","Adiyaman",38.27194444,37.75626543
"46","Ado Ekiti",5.11879363,7.70720341
"47","Adrar",-0.28958333,27.86643519
"48","Afyon",30.56359127,38.75753968
"49","Agadez",7.98963675,16.98344017
"50","Agadir",-9.55022727,30.39285354
"51","Agana",144.79226191,13.48416667
"52","Agartala",91.19128428,24.04668265
"53","Agboville",-4.20710784,5.93455882
"54","Agen",0.63322917,44.1953125
"55","Agordat",37.88083334,15.54416666
"56","Agra",78.14606587,27.17175184
"57","Agri",43.04407895,39.72171053
"58","Agrinio",21.40144928,38.62536232
"59","Agua Prieta",-109.54280303,31.33219697
"60","Aguascalientes",-102.29459024,21.90112799
"61","Ahar",47.06875,38.47916667
"62","Ahmadabad",72.70855397,22.95832647
"63","Ahmednagar",74.75116667,19.10366667
"64","Ahwaz",48.67136392,31.3096598
"65","Aigua",-54.7625,-34.20208333
"66","Aiken",-81.72119964,33.54015568
"67","Aiquile",-65.17916667,-18.19791667
"68","Aix-en-Provence",5.42328948,43.5297807
"69","Aizawl",92.71733333,23.70583333
"70","Ajaccio",8.75201613,41.93696236
"71","Ajdabiya",20.22537879,30.7594697
"72","Ajmer",74.66290258,26.46237923
"73","Aketi",23.78112745,2.73553921
"74","Akhtubinsk",46.16822917,48.27734375
"75","Akita",140.09886866,39.73016004
"76","Akola",76.99172481,20.70098837
"77","Akron",-81.49435555,41.10233695
"78","Aksu",80.26979166,41.17020833
"79","Aksum",38.74645061,14.10601852
"80","Akureyi",-18.10847701,65.68347701
"81","Al Ahmadi",48.06990741,29.09074074
"82","Al Amarah",47.15231481,31.84634774
"83","Al Ayn",55.72912371,24.19205326
"84","Al Bayda",21.62916667,32.75416667
"85","Al Fallujah",43.78219697,33.35012626
