City,Region,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter
Aalborg,EUROPE,-0.082493267,-0.040569889,-0.784006933,0.884069962,-0.137497086,-0.145650558,-0.145051677,-0.639853821,-0.780757238,1.317323047,-1.013731664,-1.393741731,-0.821339001,0.055887814,-1.676365959,-0.412478016,-0.33957751,-1.039763717,-0.799429672,-1.495669156,-0.640098593,-0.534111324,-0.75675087,0.131270855,-1.08168384,-0.724965597,0.076970671,-0.491852343,-0.239787484
Aarhus,EUROPE,-0.050659023,-0.115727324,-0.771061007,0.840969913,-0.123803086,-0.115211295,-0.06708073,-0.526492005,-0.811595535,1.378263241,-0.996836659,-1.470977076,-0.940319335,0.093775647,-1.758344898,-0.532823388,-0.239124102,-1.456980352,-0.804835485,-1.445365958,-0.643678779,-0.507613192,-0.783361102,0.220021047,-1.136981446,-0.728226346,0.121380431,-0.461436059,-0.267483269
Aba,AFRICA,-0.077188554,-0.597379063,-0.668049056,0.830861035,-0.016317201,0.037394744,0.200789501,0.716974898,1.17707459,-0.585453719,1.181488531,-0.957888175,1.473984643,-1.205730996,0.487623072,1.413219955,-1.412452754,0.796269215,1.027909322,0.812961739,1.246471008,2.156441257,1.800982891,-0.048395772,0.094052215,1.970924118,0.209251926,0.459161399,3.65592525
Abadan,ASIA,-0.119561531,5.398578519,-0.78828089,-0.532356259,-0.146962965,-0.123433787,-0.02648336,-0.542566699,-0.463433992,-0.342842195,1.052359104,1.490584639,-0.408478564,0.784024117,2.760328408,0.326655065,0.971114927,-0.549169174,1.704966016,2.364812502,0.361630911,-1.203909988,-1.0205392,-0.86580493,1.092450418,-1.042845169,-0.92772702,-1.306859086,-0.390687683
Abaetetuba,SOUTH AMERICA,-0.128979841,-0.017053763,-0.762577984,0.258798801,-0.16312953,-0.150016347,-0.081243842,-0.466366682,-0.816627279,-0.650800234,1.182452329,-1.109291466,1.967858653,-1.335239431,0.250338091,1.444741826,-1.565580961,0.899030878,1.02975031,0.678007107,1.300988571,2.47662004,2.187629979,1.021268766,0.187379052,2.63510382,1.009589374,-0.346161395,4.31987156
Abai,SOUTH AMERICA,-0.130216701,-0.689862598,-0.404365126,-2.309284078,-0.16577709,-0.164928727,-0.132309846,0.62427366,1.69460028,-0.640429872,0.647392048,0.24179431,0.394705942,-0.533375394,0.410606825,0.616342209,-0.518996781,0.645261998,0.301845925,0.534184387,0.637761642,0.879122234,0.194961612,1.596986165,-1.040373513,0.119293974,1.690527314,0.490882138,0.352848908
Abakan,ASIA,-0.105211364,0.665601634,-0.21491858,0.943991864,-0.128844789,-0.140130909,-0.150459217,-1.026791292,-0.503597316,-0.606219596,-1.729722892,0.519684341,-1.145470331,1.904087696,-0.670688133,-1.96346345,1.965726864,-0.221708987,-2.012714029,-1.028240429,-1.907726122,-0.94688602,-0.78068338,-0.685936232,0.540397336,-0.761453392,-0.710750884,-0.418062862,-0.684861535
Abancay,SOUTH AMERICA,-0.128586756,-0.726657784,5.169035281,-0.992419034,-0.155673295,-0.157041532,-0.13287708,-1.061753604,-0.816627279,-0.202013869,-0.182105237,1.597660203,1.811133507,-1.254076263,-1.08359638,0.193149578,-0.756775852,-0.641826671,0.046958047,-1.442180137,0.374111755,0.283772216,0.453121077,-0.386040431,0.575544681,0.629975176,-0.381058533,0.248329751,-0.554859665
Abau,MELANESIA,-0.130779407,-0.785986263,-0.770240545,-2.089899027,-0.165684103,-0.165553912,-0.135097033,-0.941209698,-0.769306213,-0.537083848,1.06797616,-1.169551609,1.047135904,-1.154245355,0.30067224,1.294303906,-1.365116168,0.899634393,0.950027684,0.634348993,1.142015392,1.627392582,0.549930876,3.100248262,-1.257610524,0.689502433,3.04281252,1.365973104,1.197522163
Abaza,ASIA,-0.125817647,-0.669798132,0.901280258,-1.207800621,-0.161212648,-0.16321254,-0.139929529,-1.020804315,-0.637658369,-0.632167459,-1.881475014,0.276389945,-1.112132052,1.629483732,-1.219190216,-1.910222706,1.634691798,-0.586748791,-1.9980014,-1.52470164,-1.884976015,-0.671569605,-0.62197722,-0.481993331,-0.135811334,-0.617458886,-0.492613229,-0.199478527,-0.534953775
