City,Region,Cluster,Baseline_Stability,Stability
Aalborg,EUROPE,B,0.866816369,0.840884733
Aarhus,EUROPE,B,0.866816369,0.839829323
Aba,AFRICA,E,0.973267257,0.972058706
Abadan,ASIA,C,0.848272162,0.821839866
Abaetetuba,SOUTH AMERICA,E,0.973267257,0.973502884
Abai,SOUTH AMERICA,D,0.441640345,0.393084296
Abakan,ASIA,A,0.983337674,0.970034634
Abancay,SOUTH AMERICA,C,0.846419907,0.795009502
Abau,MELANESIA,E,0.973267257,0.973603178
Abaza,ASIA,A,0.983337674,0.970122599
Abbottabad,ASIA,D,0.555454658,0.648035004
Abeche,AFRICA,D,0.555454658,0.656079651
Abengourou,AFRICA,D,0.656673658,0.70641259
Abeokuta,AFRICA,D,0.656673658,0.707671004
Aberdeen1,NORTH AMERICA,A,0.983337674,0.970067284
Aberdeen2,NORTH AMERICA,B,0.761189133,0.625010814
Aberdeen3,EUROPE,B,0.868270289,0.84286875
Abha,ASIA,C,0.847576205,0.806447733
Abidjan,AFRICA,D,0.441640345,0.526205007
Abilene,NORTH AMERICA,C,0.848272162,0.802850119
Abohar,ASIA,D,0.555454658,0.634288537
Abomey,AFRICA,D,0.656673658,0.725363808
Abong Mbang,AFRICA,D,0.653811845,0.665446859
Abra Pampa,SOUTH AMERICA,C,0.846268274,0.7808617
Abu Dhabi,ASIA,C,0.848272162,0.820101804
Abu Kamal,ASIA,C,0.847576205,0.820668054
Abuja,AFRICA,D,0.656673658,0.706357766
Acapulco,NORTH AMERICA,D,0.656673658,0.720917415
Acarau,SOUTH AMERICA,D,0.656673658,0.710703279
Acarigua,SOUTH AMERICA,D,0.656673658,0.708600278
Acatlan,NORTH AMERICA,C,0.642606532,0.574889458
Accra,AFRICA,D,0.656673658,0.72407484
Achinsk,ASIA,A,0.983337674,0.970302727
Acu,SOUTH AMERICA,D,0.555454658,0.689244424
Ad Dakhla,AFRICA,C,0.847576205,0.803655742
Ad Damman,ASIA,C,0.848272162,0.821870461
Ad Diwaniyah,ASIA,C,0.847576205,0.822519399
Ad Nabk,ASIA,C,0.848272162,0.817056932
Adana,ASIA,C,0.290070762,0.493229666
Adapazari,ASIA,B,0.802774415,0.778889585
Addis Ababa,AFRICA,D,0.555454658,0.637441858
Adelaide,AUSTRALIA,B,0.802774415,0.734199027
Aden,ASIA,C,0.642606532,0.654631302
Adi Ugri,AFRICA,D,0.555454658,0.651339288
Adigrat,AFRICA,C,0.845722395,0.773632005
Adiyaman,ASIA,C,0.848272162,0.81385676
Ado Ekiti,AFRICA,D,0.656673658,0.704517001
Adrar,AFRICA,C,0.847576205,0.814883732
Afyon,ASIA,C,0.290070762,0.430684711
Agadez,AFRICA,C,0.642606532,0.596081087
Agadir,AFRICA,C,0.848272162,0.822910806
Agana,MICRONESIA,E,0.973267257,0.973673776
Agartala,ASIA,D,0.653811845,0.647729822
Agboville,AFRICA,D,0.656673658,0.697416081
Agen,EUROPE,B,0.844596286,0.829623727
Agordat,AFRICA,D,0.555454658,0.653476943
Agra,ASIA,D,0.555454658,0.659168407
Agri,ASIA,A,0.777484651,0.762951799
Agrinio,EUROPE,C,0.848272162,0.715335638
Agua Prieta,NORTH AMERICA,C,0.847576205,0.814236188
Aguascalientes,NORTH AMERICA,C,0.847576205,0.817853309
Ahar,ASIA,C,0.360160964,0.560886089
Ahmadabad,ASIA,D,0.555454658,0.657854888
Ahmednagar,ASIA,D,0.555454658,0.654222285
Ahwaz,ASIA,C,0.847849922,0.822247922
Aigua,SOUTH AMERICA,B,0.771729023,0.744880403
Aiken,NORTH AMERICA,B,0.802774415,0.770193899
Aiquile,SOUTH AMERICA,C,0.845722395,0.775919698
Aix-en-Provence,EUROPE,B,0.802774415,0.743587102
Aizawl,ASIA,D,0.441640345,0.456613842
Ajaccio,EUROPE,B,0.802774415,0.737638658
Ajdabiya,AFRICA,C,0.847849922,0.821780876
Ajmer,ASIA,D,0.555454658,0.659562542
Aketi,AFRICA,E,0.973267257,0.971600826
Akhtubinsk,EUROPE,A,0.983337674,0.970070937
Akita,ASIA,B,0.868270289,0.825375109
Akola,ASIA,D,0.555454658,0.658168313
Akron,NORTH AMERICA,B,0.867396836,0.841850311
Aksu,ASIA,C,0.286940124,0.349316807
Aksum,AFRICA,D,0.555454658,0.648937973
Akureyi,NORTH AMERICA,B,0.863401651,0.763825352
Al Ahmadi,ASIA,C,0.848272162,0.822346904
Al Amarah,ASIA,C,0.847576205,0.820913116
Al Ayn,ASIA,C,0.847576205,0.805013916
Al Bayda,AFRICA,C,0.847576205,0.81347419
Al Fallujah,ASIA,C,0.847992224,0.822742856
Al Fujayrah,ASIA,C,0.846419907,0.791377951
Al Hasakah,ASIA,C,0.848272162,0.822184756
Al Hillah,ASIA,C,0.848272162,0.823263309
Al Hudaydah,ASIA,D,0.555454658,0.640084645
Al Hufuf,ASIA,C,0.847576205,0.818745464
Al Jaghbub,AFRICA,C,0.847011664,0.801644439
Al Jahra,ASIA,C,0.848272162,0.822180377
Al Jawf,AFRICA,C,0.848272162,0.822269835
