City,Region,Longitude,Latitude,tif_count,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Aalborg,EUROPE,9.929700855,57.03963675,156.0,7.777483998,7.24471158,31.0706356,608.1640359,20.84294884,-2.473076911,23.31602562,11.95598302,2.824786316,15.50982909,0.747542734,615.9935897,70.07051282,30.98076923,24.2366518,198.2051282,104.3653846,171.8269231,131.6602564,B,-2.5435293152533514,1.7285678874048613,0.5457239819004517,0.5820820576455851
Aarhus,EUROPE,10.17503086,56.16925926,270.0,7.932052446,7.003858021,28.70662917,623.1432366,20.36000007,-4.041851847,24.40185192,9.318641912,2.76462963,15.77567897,0.718827157,632.2074074,66.41851852,33.76296296,22.18843077,196.6777778,109.0296296,177.4333333,127.7777778,B,-2.7271546374871742,1.8947725862076625,0.5457239819004517,0.5803703867588534
Aba,AFRICA,7.334607543,5.088379205,327.0,26.44898068,8.367125336,74.78662753,92.93312523,32.67339442,21.4865442,11.18685022,25.24505612,26.92186533,27.65127428,25.24505612,2425.996942,386.9296636,25.21100917,64.15282713,1057.865443,118.2538226,371.2996942,1057.865443,I,5.228494583416471,1.655143230113321,0.7556818181818179,0.7712247510407884
Abadan,ASIA,48.27458333,30.34569444,59.99999999,25.32916651,14.49833334,38.40364037,904.7019307,45.04000022,7.2883334,37.75166683,15.54999998,35.84999955,35.84999955,13.72222225,169.0666667,38.28333333,0.0,97.93044294,99.16666666,0.0,0.0,98.5,F,0.15590063883688451,-4.40854976744974,0.7862568807339444,0.758771577280117
Abaetetuba,SOUTH AMERICA,-48.88125,-1.71875,12.0,26.46145805,8.000694394,84.07074928,40.58287398,31.39166625,21.87499952,9.51666673,25.98055569,26.94444482,26.94444482,25.95138899,2682.833333,438.8333333,61.25,66.69234912,1282.833333,208.6666667,208.6666667,1230.166667,I,5.953700204168955,2.854260964264246,0.7556818181818179,0.7677407862283034
Abai,SOUTH AMERICA,-55.94583333,-26.0375,4.000000002,21.93124962,11.51249981,54.11301136,367.4322433,32.29999924,11.0250001,21.27499914,24.18750095,17.35833359,26.21666718,17.35833359,1569.75,188.0,77.75,25.39712429,468.0,274.75,377.75,274.75,E,1.969152695246815,1.5711813206032401,0.7493412384716736,0.5485242887010034
Aigua,SOUTH AMERICA,-54.76666667,-34.19791667,4.000000001,16.18020868,9.910416603,45.72287846,433.9073639,27.70000076,6.024999976,21.67500067,13.86666656,20.20416737,21.47500038,10.89583325,1244.0,116.0,87.0,7.311022997,334.0,281.0,291.0,328.0,E,0.30628532387186064,2.555686843110099,0.7493412384716736,0.7397643020132357
Biltine,AFRICA,20.91944444,14.53055556,3.0,28.68472226,15.013889,59.10979589,299.0439046,40.40000153,15.0,25.40000153,28.89999962,26.36666616,32.46666718,24.73888906,253.6666667,103.3333333,0.0,156.906779,218.6666667,0.0,30.0,0.0,F,2.0687497376519497,-4.776254193621909,0.7862568807339444,0.7746026385653657
Abakan,ASIA,91.43396057,53.72213262,93.0,1.723387094,12.16505379,24.78486194,1358.926582,26.38817205,-22.6946236,49.0827955,18.01362011,-13.12849462,18.01362011,-15.63028672,338.6129032,67.07526882,5.924731183,79.44816368,187.3978495,22.6344086,187.3978495,25.72043011,A,-5.020654410990891,-0.4201532791569003,0.9987781731909829,0.988425249467952
Abancay,SOUTH AMERICA,-72.88928571,-13.63035714,14.0,18.65952383,15.49642856,86.09802955,62.38242803,28.23571437,10.2357143,18.00000027,18.32499995,18.20357146,19.42857129,18.19047628,1293.571429,243.5714286,18.0,78.41187068,686.6428571,67.35714285,269.7142857,331.5714286,G,1.9955762030350375,-0.3083229498789088,0.9862783810463968,0.9751136697747959
Abau,MELANESIA,148.5583333,-10.04166667,1.0,25.46249962,7.808333397,66.73789215,113.5806656,31.60000038,19.89999962,11.70000076,25.96666718,25.88333321,26.66666603,23.86666679,2038.0,233.0,112.0,19.26593972,643.0000001,424.0,563.9999996,453.0000004,J,4.178411361911086,3.6023768010535706,0.8980272108843527,0.9106319154200715
Abaza,ASIA,90.09035088,52.65263158,19.0,0.943859636,11.88859653,25.67117872,1261.51008,24.23157883,-22.07894757,46.31052599,16.00701759,-12.63157885,16.00701759,-15.11052644,509.4210526,84.21052632,11.63157894,56.63335941,227.3684211,44.26315789,227.3684211,60.26315789,A,-4.929105930219421,0.4481601660683046,0.9987781731909829,0.9889696933407861
Abbottabad,ASIA,73.08325142,34.07186539,759.5490645,19.1209316,12.892232,38.33179644,733.4126107,35.89899239,2.270179212,33.62881333,25.98451434,15.04198577,27.39540098,9.515235867,1159.793359,245.889049,21.17044399,76.1253811,580.5017652,94.89963174,560.2369912,207.0637889,F,0.8188663608912378,-0.5836767049015827,0.21374311926605535,0.3732891023083942
Abeche,AFRICA,20.82916667,13.83869048,14.0,28.84107154,15.15714264,60.09622983,272.5463518,40.79999924,15.57857159,25.22142751,28.20238113,27.21785709,32.49166679,25.60714258,376.8571429,158.9285714,0.0,159.088271,323.0,0.0,46.0,0.0,F,2.409033022143551,-4.660493232362128,0.7862568807339444,0.7346176696628809
Fada,AFRICA,21.58333333,17.19166667,1.0,27.24166679,15.51666641,55.02363968,448.3648682,39.70000076,11.5,28.20000076,30.48333359,22.61666679,31.85000038,20.96666718,63.0,36.0,0.0,169.8940887,57.0,0.0,20.0,0.0,F,1.2152124550382852,-5.068120166929922,0.7862568807339444,0.7755006243060695
Abengourou,AFRICA,-3.494444444,6.7375,48.0,26.44218743,8.460069517,70.2203474,116.3184013,33.0937504,21.04583343,12.04791697,26.94097201,26.99652791,27.86944469,24.88124994,1240.583333,206.0,8.395833333,60.44920238,515.3125,76.47916667,317.3958333,314.3125,G,3.3723338078375655,-0.6081821610890337,0.9862783810463968,0.9746471810422005
Abeokuta,AFRICA,3.329311343,7.125028935,288.0,26.80515042,8.733391179,70.73520141,132.4585168,33.96319458,21.61701384,12.34618074,26.09282412,27.64890053,28.43391195,25.08622685,1249.704861,204.7916667,12.21875,64.13919388,540.2430556,54.65277778,253.7256944,415.9201389,G,3.4746736492543198,-0.7376216358124739,0.9862783810463968,0.9735449089018564
Aberdeen1,NORTH AMERICA,-98.48098291,45.46837607,39.0,6.524893186,13.04722224,27.44420859,1243.766946,29.81025598,-17.73076952,47.54102501,18.80726467,-9.514529864,21.18418782,-9.514529864,512.1282051,86.69230769,10.0,59.43212988,226.974359,34.05128205,218.7179487,34.05128205,A,-3.959464085000267,-0.619329160961589,0.9987781731909829,0.9875756279260371
Aberdeen2,NORTH AMERICA,-123.8421667,46.97866667,49.99999998,10.40400003,8.600666704,43.93006203,428.0414325,21.66599998,2.093999987,19.57200016,5.822333345,15.57366673,15.85766661,5.429000034,2272.86,361.14,42.16,62.67596039,1030.06,160.46,182.72,979.5,I,0.8513814848455492,3.7657950003545597,0.02840909090909086,0.06342549852151906
Aberdeen3,EUROPE,-2.139763375,57.15889918,162.0,8.105504112,7.380761332,38.38972873,443.8447102,18.87839508,-0.351234572,19.22962946,5.679732493,8.052777757,13.78199586,2.916563814,779.925926,81.18518519,52.48148148,16.9135924,235.1975309,160.617284,180.4444444,204.0493827,B,-2.0786583808274157,2.6895321540523147,0.5457239819004517,0.5757619222433873
Abha,ASIA,42.50435606,18.22140152,43.99999999,20.30492418,13.90378789,55.50844453,421.0770465,32.35454546,7.306818225,25.04772741,20.58863657,20.29659093,25.28446986,15.05,250.3409091,49.52272727,5.931818182,75.03246793,131.8863636,24.75,65.22727273,28.47727273,D,-0.058679035474916555,-2.469930251705217,0.924294205052006,0.9175415175190074
Colinas,SOUTH AMERICA,-44.25416667,-6.025,2.0,26.48958302,11.1624999,69.11775589,109.5852699,34.79999924,18.65000057,16.14999866,25.78333282,25.88333321,28.11666679,25.52499962,1262.5,257.5,7.0,82.57538986,647.5,36.5,182.0,88.99999999,G,3.1860995838435064,-1.6600634769239382,0.9862783810463968,0.9735831010471001
Abidjan,AFRICA,-4.024486715,5.379181763,552.0,26.46927844,6.503170244,64.83307534,122.1082659,31.59365931,21.5677537,10.02590561,27.09100234,27.10166067,27.70908818,24.69743356,1707.025362,440.1630435,21.67753623,80.06699929,857.9076087,145.3949275,327.7101449,269.990942,H,4.3384068793293595,0.5820503273552246,0.8463961038961035,0.8472545934436412
Abilene,NORTH AMERICA,-99.76521739,32.43967391,138.0,18.11488529,13.7429347,38.68482247,804.8103032,35.17101443,-0.354347833,35.52536273,23.79323683,7.903381704,27.76111098,7.903381704,616.5652174,84.35507246,24.06521739,40.682627,216.5507246,84.08695652,186.4565217,84.08695652,D,-0.886195194625899,-1.3352077294413265,0.924294205052006,0.9159811981989135
Abohar,ASIA,74.33190576,30.33160458,1250.599139,24.46003353,14.12395519,39.81678596,766.5247113,41.04890167,5.576884864,35.47201698,30.86458816,19.45378533,32.74884723,14.19441749,356.9533602,100.131551,2.702542575,120.5687487,270.3097324,17.34588341,127.5178276,26.26124751,F,0.5728538866407272,-3.862914509469971,0.7862568807339444,0.7669544925737091
Abomey,AFRICA,1.891247567,6.871754027,1421.624684,27.07018469,8.943979246,70.62063007,130.1324952,34.29059799,21.62490696,12.66569104,27.19811857,27.55939793,28.62829034,25.38514554,1006.455453,162.7072021,5.134210937,63.61432702,430.717193,46.01761467,234.4837169,300.8474653,G,3.1638157576729906,-1.289721263898924,0.9862783810463968,0.9736881997331678
Abong Mbang,AFRICA,13.17083333,3.991666667,2.0,23.71250057,10.20000029,71.83098602,77.7841568,31.0,16.79999924,14.20000076,23.24166679,23.625,24.86666679,23.04166603,1604.5,298.0,21.0,63.28079605,661.5,90.0,310.5,467.5,G,3.286192806088594,0.2919201577321287,0.9862783810463968,0.9732524573901292
Abra Pampa,SOUTH AMERICA,-65.70138889,-22.71805556,6.0,10.81875006,17.02361107,62.24365362,356.5093486,22.06666692,-5.283333301,27.35000006,14.24999984,6.083333333,14.31388903,5.916666508,220.1666667,58.16666666,0.0,114.5883115,155.5,1.0,124.1666667,2.0,D,-2.049692954361154,-1.709299813195812,0.924294205052006,0.9163817090389316
