City,Region,tif_count,Longitude,Latitude,tif_count,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Aalborg,EUROPE,156.0,9.929700855,57.03963675,156.0,7.777483998,7.24471158,31.0706356,608.1640359,20.84294884,-2.473076911,23.31602562,11.95598302,2.824786316,15.50982909,0.747542734,615.9935897,70.07051282,30.98076923,24.2366518,198.2051282,104.3653846,171.8269231,131.6602564,B,-2.5435293152533833,1.7285678874057877,0.7018229166666673,0.718522535177322
Aarhus,EUROPE,270.0,10.17503086,56.16925926,270.0,7.932052446,7.003858021,28.70662917,623.1432366,20.36000007,-4.041851847,24.40185192,9.318641912,2.76462963,15.77567897,0.718827157,632.2074074,66.41851852,33.76296296,22.18843077,196.6777778,109.0296296,177.4333333,127.7777778,B,-2.7271546374870943,1.8947725862009581,0.7018229166666673,0.718089118502704
Aba,AFRICA,327.0,7.334607543,5.088379205,327.0,26.44898068,8.367125336,74.78662753,92.93312523,32.67339442,21.4865442,11.18685022,25.24505612,26.92186533,27.65127428,25.24505612,2425.996942,386.9296636,25.21100917,64.15282713,1057.865443,118.2538226,371.2996942,1057.865443,G,5.228494583416512,1.6551432301121787,0.9870725388601025,0.9533106151386681
Abadan,ASIA,59.99999999,48.27458333,30.34569444,59.99999999,25.32916651,14.49833334,38.40364037,904.7019307,45.04000022,7.2883334,37.75166683,15.54999998,35.84999955,35.84999955,13.72222225,169.0666667,38.28333333,0.0,97.93044294,99.16666666,0.0,0.0,98.5,E,0.15590063883685645,-4.408549767448596,0.6030216802168021,0.5762817042705763
Abaetetuba,SOUTH AMERICA,12.0,-48.88125,-1.71875,12.0,26.46145805,8.000694394,84.07074928,40.58287398,31.39166625,21.87499952,9.51666673,25.98055569,26.94444482,26.94444482,25.95138899,2682.833333,438.8333333,61.25,66.69234912,1282.833333,208.6666667,208.6666667,1230.166667,G,5.9537002041688485,2.8542609642564276,0.9870725388601025,0.9795529477448625
Abai,SOUTH AMERICA,4.000000002,-55.94583333,-26.0375,4.000000002,21.93124962,11.51249981,54.11301136,367.4322433,32.29999924,11.0250001,21.27499914,24.18750095,17.35833359,26.21666718,17.35833359,1569.75,188.0,77.75,25.39712429,468.0,274.75,377.75,274.75,D,1.9691526952469993,1.571181320597293,0.7767943262411352,0.578658665743506
Aigua,SOUTH AMERICA,4.000000001,-54.76666667,-34.19791667,4.000000001,16.18020868,9.910416603,45.72287846,433.9073639,27.70000076,6.024999976,21.67500067,13.86666656,20.20416737,21.47500038,10.89583325,1244.0,116.0,87.0,7.311022997,334.0,281.0,291.0,328.0,D,0.3062853238718192,2.555686843109751,0.7767943262411352,0.7573947175673479
Biltine,AFRICA,3.0,20.91944444,14.53055556,3.0,28.68472226,15.013889,59.10979589,299.0439046,40.40000153,15.0,25.40000153,28.89999962,26.36666616,32.46666718,24.73888906,253.6666667,103.3333333,0.0,156.906779,218.6666667,0.0,30.0,0.0,E,2.0687497376519572,-4.7762541936197485,0.6030216802168021,0.6264005101697884
Abakan,ASIA,93.0,91.43396057,53.72213262,93.0,1.723387094,12.16505379,24.78486194,1358.926582,26.38817205,-22.6946236,49.0827955,18.01362011,-13.12849462,18.01362011,-15.63028672,338.6129032,67.07526882,5.924731183,79.44816368,187.3978495,22.6344086,187.3978495,25.72043011,A,-5.020654410990998,-0.42015327915069833,0.9989528795811529,0.9905550464708422
Abancay,SOUTH AMERICA,14.0,-72.88928571,-13.63035714,14.0,18.65952383,15.49642856,86.09802955,62.38242803,28.23571437,10.2357143,18.00000027,18.32499995,18.20357146,19.42857129,18.19047628,1293.571429,243.5714286,18.0,78.41187068,686.6428571,67.35714285,269.7142857,331.5714286,F,1.9955762030348987,-0.30832294987482983,0.9490130505709612,0.9380694901236154
