City,Region,Longitude,Latitude,tif_count_2000,tif_count_2021,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Aalborg,EUROPE,9.929481132,57.04017296,157.0,161.0,254.635889,1.033646175,6.118811965,0.802875672,126259.9999,112055.9999,-14204.0,0.072798069,0.005953847,5622.720497,7.777483998,7.24471158,31.0706356,608.1640359,20.84294884,-2.473076911,23.31602562,11.95598302,2.824786316,15.50982909,0.747542734,615.9935897,70.07051282,30.98076923,24.2366518,198.2051282,104.3653846,171.8269231,131.6602564,C,-2.7421788738138657,-1.939693097015245,0.8700796812749009,0.8430399729502573
Aarhus,EUROPE,10.1760989,56.16968864,273.0,273.0,421.9368836,0.92942765,14.024,0.797052026,187375.9999,283000.9999,95624.99993,0.092358451,0.000835188,5793.135531,7.932052446,7.003858021,28.70662917,623.1432366,20.36000007,-4.041851847,24.40185192,9.318641912,2.76462963,15.77567897,0.718827157,632.2074074,66.41851852,33.76296296,22.18843077,196.6777778,109.0296296,177.4333333,127.7777778,C,-2.9077376588226316,-2.0647341101476573,0.8700796812749009,0.8529202663379187
Aba,AFRICA,7.334607543,5.088379205,327.0,327.0,282.5141657,0.261535858,76.9263266,0.795686122,667082.9989,1140027.0,472944.0007,0.306916488,0.330922291,301.737003,26.44898068,8.367125336,74.78662753,92.93312523,32.67339442,21.4865442,11.18685022,25.24505612,26.92186533,27.65127428,25.24505612,2425.996942,386.9296636,25.21100917,64.15282713,1057.865443,118.2538226,371.2996942,1057.865443,M,5.365959011734264,-1.6605716075217214,0.9589893617021273,0.934034234983514
Abadan,ASIA,48.27458333,30.34569444,59.99999999,59.99999999,59.82814182,8.575947554,3.509,0.611489233,84013.99995,236823.9995,152809.9996,0.089584791,0.058624378,980.1833338,25.32916651,14.49833334,38.40364037,904.7019307,45.04000022,7.2883334,37.75166683,15.54999998,35.84999955,35.84999955,13.72222225,169.0666667,38.28333333,0.0,97.93044294,99.16666666,0.0,0.0,98.5,I,-0.1140006289145412,3.6293009828880076,0.4602127659574471,0.48671852564601453
Abaetetuba,SOUTH AMERICA,-48.88125,-1.71875,12.0,12.0,10.33136162,1.06625527,19.204,0.718389506,11862.99999,87537.99993,75674.99994,0.102732971,0.0,119.0,26.46145805,8.000694394,84.07074928,40.58287398,31.39166625,21.87499952,9.51666673,25.98055569,26.94444482,26.94444482,25.95138899,2682.833333,438.8333333,61.25,66.69234912,1282.833333,208.6666667,208.6666667,1230.166667,M,5.667995537689334,-3.4163368364967552,0.9589893617021273,0.9291394467348285
Abai,SOUTH AMERICA,-55.94583333,-26.0375,4.000000002,4.000000002,3.831192013,0.133291758,237.94,0.371392091,47.00000002,3790.999993,3743.999993,0.290921052,0.416823192,148.0,21.93124962,11.51249981,54.11301136,367.4322433,32.29999924,11.0250001,21.27499914,24.18750095,17.35833359,26.21666718,17.35833359,1569.75,188.0,77.75,25.39712429,468.0,274.75,377.75,274.75,H,2.157903124942031,-1.3590214974025496,0.16617647058823523,0.19803490882445063
Abakan,ASIA,91.43396057,53.72213262,93.0,93.0,135.2436964,2.012872711,353.622,0.810972274,164875.0,143054.0,-21821.00002,0.006032686,0.051957915,243.6666667,1.723387094,12.16505379,24.78486194,1358.926582,26.38817205,-22.6946236,49.0827955,18.01362011,-13.12849462,18.01362011,-15.63028672,338.6129032,67.07526882,5.924731183,79.44816368,187.3978495,22.6344086,187.3978495,25.72043011,A,-5.106045110934965,0.5337958972048452,1.0,0.9991791958105822
Abancay,SOUTH AMERICA,-72.88928571,-13.63035714,14.0,14.0,12.39716918,0.082268994,3641.233,0.549325899,45140.0,48084.99998,2944.999987,0.0,0.0,1374.0,18.65952383,15.49642856,86.09802955,62.38242803,28.23571437,10.2357143,18.00000027,18.32499995,18.20357146,19.42857129,18.19047628,1293.571429,243.5714286,18.0,78.41187068,686.6428571,67.35714285,269.7142857,331.5714286,F,1.6037672875231102,0.6333024931887951,0.7831012658227849,0.7393918793027329
Abau,MELANESIA,148.5583333,-10.04166667,1.0,1.0,0.873956613,0.0,14.525,0.401035233,461.9999957,279.9999974,-181.9999983,0.02079964,0.007854532,437.0,25.46249962,7.808333397,66.73789215,113.5806656,31.60000038,19.89999962,11.70000076,25.96666718,25.88333321,26.66666603,23.86666679,2038.0,233.0,112.0,19.26593972,643.0000001,424.0,563.9999996,453.0000004,N,3.8670733097814276,-4.105327037307837,0.9688965517241386,0.9803933517915725
Abaza,ASIA,90.09035088,52.65263158,19.0,19.0,26.94988638,0.161114542,1035.208,0.520223702,20417.99996,13428.99997,-6988.999987,0.007065728,0.029705947,171.1052632,0.943859636,11.88859653,25.67117872,1261.51008,24.23157883,-22.07894757,46.31052599,16.00701759,-12.63157885,16.00701759,-15.11052644,509.4210526,84.21052632,11.63157894,56.63335941,227.3684211,44.26315789,227.3684211,60.26315789,A,-5.022988417402476,-0.13511880411519708,1.0,0.9991744194043146
Abbottabad,ASIA,73.08325142,34.07186539,759.5490645,759.5490645,789.0584068,0.149524184,1582.6627,0.769117626,714326.4185,1471902.634,757576.2157,0.513367811,0.003162841,1024.866128,19.1209316,12.892232,38.33179644,733.4126107,35.89899239,2.270179212,33.62881333,25.98451434,15.04198577,27.39540098,9.515235867,1159.793359,245.889049,21.17044399,76.1253811,580.5017652,94.89963174,560.2369912,207.0637889,K,1.0407948334806636,0.9922061145504787,0.7834722222222222,0.8335568953418934
Abeche,AFRICA,20.82916667,13.83869048,14.0,14.0,12.40775034,0.06276415,482.531,0.628842156,150562.9999,192872.9998,42309.99986,0.082810974,0.746831705,237.5714287,28.84107154,15.15714264,60.09622983,272.5463518,40.79999924,15.57857159,25.22142751,28.20238113,27.21785709,32.49166679,25.60714258,376.8571429,158.9285714,0.0,159.088271,323.0,0.0,46.0,0.0,G,2.7483329475954905,4.770212919576374,0.8743628509719227,0.8406292881217322
Abengourou,AFRICA,-3.494444444,6.7375,48.0,48.0,41.59365297,0.193210851,163.171,0.813753159,21076.99998,112795.9999,91718.99997,0.523156755,0.271336963,1322.083333,26.44218743,8.460069517,70.2203474,116.3184013,33.0937504,21.04583343,12.04791697,26.94097201,26.99652791,27.86944469,24.88124994,1240.583333,206.0,8.395833333,60.44920238,515.3125,76.47916667,317.3958333,314.3125,K,3.696492651674195,0.6049723990103957,0.49111111111111105,0.6141145494949887
Abeokuta,AFRICA,3.329311343,7.125028935,288.0,288.0,249.7672128,0.115957527,170.2160083,0.77708105,443325.9999,521008.9996,77682.99974,0.324169481,0.387924102,506.3229165,26.80515042,8.733391179,70.73520141,132.4585168,33.96319458,21.61701384,12.34618074,26.09282412,27.64890053,28.43391195,25.08622685,1249.704861,204.7916667,12.21875,64.13919388,540.2430556,54.65277778,253.7256944,415.9201389,J,3.717569383495499,0.7212148899692219,0.8260927152317883,0.8232744592483655
Aberdeen1,NORTH AMERICA,-98.48098291,45.46837607,39.0,39.0,47.85274703,1.447928876,418.723,0.751834091,20789.99999,23705.99999,2916.000002,0.265318816,0.090957018,3414.102563,6.524893186,13.04722224,27.44420859,1243.766946,29.81025598,-17.73076952,47.54102501,18.80726467,-9.514529864,21.18418782,-9.514529864,512.1282051,86.69230769,10.0,59.43212988,226.974359,34.05128205,218.7179487,34.05128205,E,-3.862896141324865,0.8053815018587858,0.5938866396761139,0.556305194648806
Aberdeen2,NORTH AMERICA,-123.8412541,46.97854785,48.99999997,52.0,65.58285941,0.797398368,188.9098941,0.698005078,24470.99997,28255.99997,3784.999999,0.000457309,0.017631752,3994.019231,10.40400003,8.600666704,43.93006203,428.0414325,21.66599998,2.093999987,19.57200016,5.822333345,15.57366673,15.85766661,5.429000034,2272.86,361.14,42.16,62.67596039,1030.06,160.46,182.72,979.5,C,0.5123360376218138,-4.001674789648789,0.7374900398406378,0.6181637827403459
Aberdeen3,EUROPE,-2.139366053,57.15884458,163.0,163.0,258.6246378,2.604948679,105.735,0.767897508,200299.9999,211511.9999,11212.00002,0.055461867,0.0489936,5593.460122,8.105504112,7.380761332,38.38972873,443.8447102,18.87839508,-0.351234572,19.22962946,5.679732493,8.052777757,13.78199586,2.916563814,779.925926,81.18518519,52.48148148,16.9135924,235.1975309,160.617284,180.4444444,204.0493827,C,-2.373156693407253,-2.8688957546640674,0.8762749003984068,0.8519551192580065
