City,Region,Longitude,Latitude,tif_count_2000,tif_count_2021,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Aalborg,EUROPE,9.929481132,57.04017296,157.0,161.0,254.635889,1.033646175,6.118811965,0.802875672,126259.9999,112055.9999,-14204.0,0.072798069,0.005953847,5622.720497,7.743962172,7.203979862,31.01764719,606.4562367,20.73582902,-2.489854819,23.2256835,12.03831305,2.794768824,15.4444304,0.731802886,616.1118012,70.0310559,31.17391304,24.14464978,198.5279503,104.757764,171.3664596,131.9751553,B,-2.708919359992877,-1.9256369580590158,0.6362987886944815,0.6241426672840923
Aarhus,EUROPE,10.1760989,56.16968864,273.0,273.0,421.9368836,0.92942765,14.024,0.797052026,187375.9999,283000.9999,95624.99993,0.092358451,0.000835188,5793.135531,7.887753511,7.002005027,28.75652442,621.8736282,20.2846769,-4.0689889,24.3536659,9.04252353,2.723469057,15.71001334,0.685327669,633.959707,66.73260073,33.94871795,22.26084553,197.4871795,109.3882784,177.7619048,125.3846154,C,-2.8837292274464126,-2.0474715481543284,0.8620708955223876,0.8533784010941281
Aba,AFRICA,7.334607543,5.088379205,327.0,327.0,282.5141657,0.261535858,76.9263266,0.795686122,667082.9989,1140027.0,472944.0007,0.306916488,0.330922291,301.737003,26.42721442,8.343761785,74.63837339,93.07581969,32.64484176,21.46637909,11.17846267,25.22179559,26.89638411,27.63317806,25.22179559,2428.342508,387.0733945,25.55657492,64.19803992,1059.006116,118.5504587,371.3302752,1059.006116,N,5.402501352970995,-1.668980887112327,0.9588541666666666,0.9364763089069859
Abadan,ASIA,48.27458333,30.34569444,59.99999999,59.99999999,59.82814182,8.575947554,3.509,0.611489233,84013.99995,236823.9995,152809.9996,0.089584791,0.058624378,980.1833338,25.32820956,14.74665793,38.8637181,902.7508982,45.15214952,7.208816735,37.94333248,15.56098657,35.82639656,35.82639656,13.73548334,164.9666667,37.33333333,0.0,98.21012332,97.06666666,0.0,0.0,96.06666666,I,-0.10724690545563177,3.7207630534481098,0.40036474164133706,0.38673078329575217
Abaetetuba,SOUTH AMERICA,-48.88125,-1.71875,12.0,12.0,10.33136162,1.06625527,19.204,0.718389506,11862.99999,87537.99993,75674.99994,0.102732971,0.0,119.0,26.43541718,7.947833538,84.02404022,40.37599182,31.33899879,21.87999916,9.458999634,25.95966721,26.92066574,26.92066574,25.92950058,2644.0,435.0,59.0,67.37737274,1271.0,202.0,202.0,1217.0,M,5.657233250627496,-3.304112674176428,0.986947040498442,0.9916074138119367
Abai,SOUTH AMERICA,-55.94583333,-26.0375,4.000000002,4.000000002,3.831192013,0.133291758,237.94,0.371392091,47.00000002,3790.999993,3743.999993,0.290921052,0.416823192,148.0,21.88158417,11.48099995,54.12757492,366.6720886,32.22100067,11.01000023,21.21100044,24.13750076,17.31999969,26.16133308,17.31999969,1568.0,188.0,77.0,25.55195427,468.0,273.0,378.0,273.0,J,2.175542274794348,-1.3228952066478223,0.6669134253450442,0.6177166190339443
Abakan,ASIA,91.43396057,53.72213262,93.0,93.0,135.2436964,2.012872711,353.622,0.810972274,164875.0,143054.0,-21821.00002,0.006032686,0.051957915,243.6666667,1.650247869,12.20769824,24.85779953,1358.529381,26.27034415,-22.84139732,49.11174159,17.91228735,-13.20779715,17.91228735,-15.72356082,338.0860215,67.06451613,5.623655914,79.40352352,186.8817204,22.62365591,186.8817204,26.06451613,A,-5.110267077932387,0.5653522083951256,0.9997553017944533,0.9987928872557499
Abancay,SOUTH AMERICA,-72.88928571,-13.63035714,14.0,14.0,12.39716918,0.082268994,3641.233,0.549325899,45140.0,48084.99998,2944.999987,0.0,0.0,1374.0,14.82183361,15.02666664,81.04560852,73.40306854,23.99799919,5.456999779,18.54100037,14.89566708,13.95816612,15.72683334,13.89750004,1167.0,220.0,15.0,80.60087585,631.0,57.0,327.0,57.0,F,0.4266023464063001,0.478744312300083,0.871405152224824,0.8539603917601104
Abau,MELANESIA,148.5583333,-10.04166667,1.0,1.0,0.873956613,0.0,14.525,0.401035233,461.9999957,279.9999974,-181.9999983,0.02079964,0.007854532,437.0,25.46112442,7.790249825,66.52646637,114.0264587,31.61600113,19.90600014,11.71000099,25.9640007,25.86916733,26.69016647,23.86583328,2072.0,232.0,124.0,18.15141678,650.0,414.0,562.0,474.0,M,3.937670035298647,-4.229300234901354,0.986947040498442,0.9908279573620989
Abaza,ASIA,90.09035088,52.65263158,19.0,19.0,26.94988638,0.161114542,1035.208,0.520223702,20417.99996,13428.99997,-6988.999987,0.007065728,0.029705947,171.1052632,0.358704005,11.57146951,25.49136593,1246.786994,23.2517899,-22.14278904,45.39457823,15.29114924,-13.01374551,15.29114924,-15.42823646,523.5263158,86.73684211,12.0,56.36735856,232.8421053,45.36842105,232.8421053,61.73684211,A,-5.071856275022409,-0.2904447090039882,0.9997553017944533,0.9992115195079849
